zone_type,GEOID,zone_SF,existing_FAR,new_FAR,existing_building_SF,max_building_SF,existing_zone_hh,new_zone_hh,existing_zone_population,new_zone_population,increase_population_totract,new_total_tract_population,avg_hhsize_existing,nocar,population,housing_units,hh_income_low,hh_income_mid,hh_income_high,hh_total,oneperson_hh,twoperson_hh,geometry
3,8031001102,24581,1.5,2.25,36871.5,55307.25,36.8715,55.30725,70.41238699,105.6185805,35.20619349,4834.206193,1.909669717,146,4799,2513,312,636,1401,2349,1050,836,"list(list(c(-105.012692, -105.008965, -105.011008, -105.011185, -105.0112, -105.011202, -105.004137, -104.998203, -104.998355, -105.000024, -105.002911, -105.004115, -105.007719, -105.008186, -105.009489, -105.011707, -105.012692, 39.755368, 39.758085, 39.759643, 39.762037, 39.765639, 39.769286, 39.769287, 39.769296, 39.762093, 39.761391, 39.760591, 39.759701, 39.755264, 39.754791, 39.753926, 39.755009, 39.755368)))"
2.5,8031001301,104891,0.94,1.41,98597.54,147896.31,98.59754,147.89631,292.786258,439.179387,146.393129,5405.393129,2.969508752,192,5259,1771,330,832,601,1763,313,617,"list(list(c(-105.025099, -105.025082, -105.025078, -105.025092, -105.0157, -105.011009, -105.010983, -105.011033, -105.012139, -105.012621, -105.012707, -105.01569, -105.025059, -105.02508, -105.025084, -105.025099, 39.704912, 39.707512, 39.707654, 39.711174, 39.71119, 39.711189, 39.703972, 39.701372, 39.699143, 39.698316, 39.696747, 39.696762, 39.696746, 39.700411, 39.703947, 39.704912)))"
2.5,8031001401,"233,998",0.94,1.41,219958.12,329937.18,219.95812,329.93718,589.3478134,884.02172,294.6739067,6695.673907,2.679363751,395,6401,2389,820,846,673,2339,922,592,"list(list(c(-105.025059, -105.01569, -105.012707, -105.006595, -104.992384, -104.993915, -104.994836, -104.999501, -104.999755, -105.002745, -105.006864, -105.01176, -105.015708, -105.025057, -105.025064, -105.025059, 39.696746, 39.696762, 39.696747, 39.696724, 39.69666, 39.69293, 39.692048, 39.68971, 39.689116, 39.689446, 39.689468, 39.689495, 39.689513, 39.689485, 39.693108, 39.696746)))"
3,8031001401,143639,1.5,2.25,215458.5,323187.75,215.4585,323.18775,577.2916946,865.937542,288.6458473,6689.645847,2.679363751,395,6401,2389,820,846,673,2339,922,592,"list(list(c(-105.025059, -105.01569, -105.012707, -105.006595, -104.992384, -104.993915, -104.994836, -104.999501, -104.999755, -105.002745, -105.006864, -105.01176, -105.015708, -105.025057, -105.025064, -105.025059, 39.696746, 39.696762, 39.696747, 39.696724, 39.69666, 39.69293, 39.692048, 39.68971, 39.689116, 39.689446, 39.689468, 39.689495, 39.689513, 39.689485, 39.693108, 39.696746)))"
5,8031001401,"388,114",2.5,3.75,970285,1455427.5,970.285,1455.4275,2599.746457,3899.619685,1299.873228,7700.873228,2.679363751,395,6401,2389,820,846,673,2339,922,592,"list(list(c(-105.025059, -105.01569, -105.012707, -105.006595, -104.992384, -104.993915, -104.994836, -104.999501, -104.999755, -105.002745, -105.006864, -105.01176, -105.015708, -105.025057, -105.025064, -105.025059, 39.696746, 39.696762, 39.696747, 39.696724, 39.69666, 39.69293, 39.692048, 39.68971, 39.689116, 39.689446, 39.689468, 39.689495, 39.689513, 39.689485, 39.693108, 39.696746)))"
12,8031001401,"83,054",6,6.9,498324,573072.6,498.324,573.0726,1335.191262,1535.469951,200.2786892,6601.278689,2.679363751,395,6401,2389,820,846,673,2339,922,592,"list(list(c(-105.025059, -105.01569, -105.012707, -105.006595, -104.992384, -104.993915, -104.994836, -104.999501, -104.999755, -105.002745, -105.006864, -105.01176, -105.015708, -105.025057, -105.025064, -105.025059, 39.696746, 39.696762, 39.696747, 39.696724, 39.69666, 39.69293, 39.692048, 39.68971, 39.689116, 39.689446, 39.689468, 39.689495, 39.689513, 39.689485, 39.693108, 39.696746)))"
,8031001401,,,,1904025.62,2681625.03,1904.02562,2681.62503,5101.577226,7185.048898,2083.471672,27687.47167,2.679363751,395,6401,2389,820,846,673,2339,922,592,"list(list(c(-105.025059, -105.01569, -105.012707, -105.006595, -104.992384, -104.993915, -104.994836, -104.999501, -104.999755, -105.002745, -105.006864, -105.01176, -105.015708, -105.025057, -105.025064, -105.025059, 39.696746, 39.696762, 39.696747, 39.696724, 39.69666, 39.69293, 39.692048, 39.68971, 39.689116, 39.689446, 39.689468, 39.689495, 39.689513, 39.689485, 39.693108, 39.696746)))"
2.5,8031001403,306833,0.94,1.41,288423.02,432634.53,288.42302,432.63453,510.5070617,765.7605925,255.2535308,3287.253531,1.769994162,120,3032,1713,231,717,642,1590,669,696,"list(list(c(-105.001844, -104.999111, -104.997865, -104.997982, -104.998728, -105.001425, -105.001409, -104.999755, -104.999501, -104.994836, -104.993915, -104.992384, -104.987431, -104.987513, -104.987567, -104.987572, -104.991132, -104.999906, -105.001844, 39.66768, 39.668896, 39.672284, 39.67847, 39.680268, 39.682487, 39.683223, 39.689116, 39.68971, 39.692048, 39.69293, 39.69666, 39.696633, 39.687573, 39.678518, 39.667682, 39.667674, 39.667884, 39.66768)))"
3,8031001403,32153,1.5,2.25,48229.5,72344.25,48.2295,72.34425,85.36593345,128.0489002,42.68296673,3074.682967,1.769994162,120,3032,1713,231,717,642,1590,669,696,"list(list(c(-105.001844, -104.999111, -104.997865, -104.997982, -104.998728, -105.001425, -105.001409, -104.999755, -104.999501, -104.994836, -104.993915, -104.992384, -104.987431, -104.987513, -104.987567, -104.987572, -104.991132, -104.999906, -105.001844, 39.66768, 39.668896, 39.672284, 39.67847, 39.680268, 39.682487, 39.683223, 39.689116, 39.68971, 39.692048, 39.69293, 39.69666, 39.696633, 39.687573, 39.678518, 39.667682, 39.667674, 39.667884, 39.66768)))"
,8031001403,,,,336652.52,504978.78,336.65252,504.97878,595.8729951,893.8094927,297.9364976,6361.936498,1.769994162,120,3032,1713,231,717,642,1590,669,696,"list(list(c(-105.001844, -104.999111, -104.997865, -104.997982, -104.998728, -105.001425, -105.001409, -104.999755, -104.999501, -104.994836, -104.993915, -104.992384, -104.987431, -104.987513, -104.987567, -104.987572, -104.991132, -104.999906, -105.001844, 39.66768, 39.668896, 39.672284, 39.67847, 39.680268, 39.682487, 39.683223, 39.689116, 39.68971, 39.692048, 39.69293, 39.69666, 39.696633, 39.687573, 39.678518, 39.667682, 39.667674, 39.667884, 39.66768)))"
