GEOID,new_oneperson_hh,new_twoperson_hh,new_total_tract_population,new_total_housing_units,new_hh_income_low,new_hh_income_mid,new_hh_income_high,new_nocar,new_basic,new_retail,new_service,new_total_emp
08031006811,2185.67,1934.35,14414.12,4120.02,755.12,1555.27,1809.63,411.88,388.2516546,434.8418532,4011.194237,4834.2877448
08059010306,770.22,1285.55,5181.64,2055.77,203.54,858.58,993.65,100.95,394.6342898,480.903181,679.1380801,1554.6755509
08005005626,931.97,781.1,3937.09,1713.07,251.04,600.86,861.17,78.84,418.7957893,577.50813,998.3518205,1994.6557398
08031004301,3400.45,1987.25,28389.17,5387.7,1364.04,2198.33,1825.33,813.06,452.1279532,1546.165963,48009.29044,50007.584356199994
08005004952,1118.83,944.62,3279.54,2063.45,288.05,1068.15,707.24,95.52,459.1150579,2075.77524,8972.772139,11507.6624369
08005080300,1947.77,2010.6,9508.88,3958.37,424.17,1600.52,1933.68,221.41,474.9369499,201.1298827,7085.180405,7761.2472376000005
08031000701,2477.08,1253.08,11584.99,3730.16,1119.92,1387.72,1222.52,903.19,477.149721,228.3135762,815.7721036,1521.2354008
08031006809,1893.34,1983.11,15930.23,3876.45,458.6,1544.47,1873.39,168.86,492.2032603,1190.682576,5800.23759,7483.1234263
08001009203,2733.69,2812.39,14658.51,5546.08,1271.54,3201.4,1073.14,278.01,497.041431,4554.809046,9662.822397,14714.672874
08059010405,1300.44,713.91,3460.9,2014.35,490.63,935.73,587.99,265.64,504.8457257,1931.25522,3512.517643,5948.6185887
08005080500,885.47,981.34,3801.03,1866.81,301.39,732.1,833.32,40.23,522.9678003,1.087251144,1175.318487,1699.3735384440001
08001009604,1773.2,1706.74,7640.94,3479.95,693.02,1718.61,1068.32,310.8,538.3814136,326.0859035,2610.385592,3474.8529091
08001060000,1865.34,3380.06,14921.61,5245.4,140.23,1540.11,3565.07,174.22,583.8686147,2387.269255,3157.128275,6128.2661447
08031006901,2183.99,1485.32,7150.86,3669.31,775.81,1718.35,1175.15,416.02,627.0961833,176.7159499,2748.914776,3552.7269092
08059010212,2119.23,2252.73,9981.32,4371.96,587.72,1848.24,1936,132.92,729.8689201,135.3399322,1454.904271,2320.1131233
08031008388,2412.36,2333.74,13064.24,4746.1,252.94,2610.73,1882.42,73,754.314472,100.9808083,1928.368449,2783.6637293000003
08031001800,1355.71,1140.7,8346.09,2496.41,885.28,773.4,837.73,579.28,762.1359496,540.0411176,23986.24185,25288.418917199997
08059009838,899.29,1809.15,7262,2708.44,0,522.73,2185.71,0,790.7642741,29.61663948,543.4653344,1363.84624798
