id,new_total_emp
08059012039,283
08031004103,330
08031004201,1074
08031004002,447
08005082400,477
08005005635,1108
08059011805,2897
08031002703,881
08005085000,1598
08005084000,505
08059012049,259
08031004503,178
08005006601,1236
08005083400,615
08059011701,3916
08059010604,1385
08005081100,5067
08014031000,620
08001008546,267
08031015400,2199
08031008391,74
08031004202,1053
08001008100,27196
08059011730,156
08014030400,290
08005005631,539
08005083000,149
08005006711,1667
08001009327,57
08031980100,12508
08035014113,281
08005085400,784
08059011602,1825
08031004506,674
08093000400,131
08093000200,213
08031001902,4807
08031008305,41
08001009306,394
08059011550,2670
08059011951,105
08031001901,6049
08031012001,182
08031003003,704
08035014110,931
08001008549,77
08005005800,275
08059011401,1328
08059010504,795
08059011202,2765
08059010701,713
08059012054,3951
08005005700,4034
08005006200,3077
08005006708,1298
08035014300,109
08059012047,324
08005006502,3679
08031004504,148
08001009502,2490
08014980100,NA
08005006712,28228
08059011300,612
08059012059,345
08005081500,1463
08031002701,9370
08005006100,590
08031003601,631
08005005614,974
08001007802,480
08059012060,91
08005006858,24435
08001009101,349
08031007037,1223
08005084800,78
08001008709,15401
08035014124,374
08001008524,675
08031001302,2031
08014030000,684
08059009847,904
08005082700,430
08001009410,292
08001008548,95
08001009408,2116
08014030800,1097
08059011723,2378
08035014129,215
08059012044,1349
08059011729,1308
08031004004,343
08031000102,442
08005006713,6207
08059011804,505
08005085600,230
08014030300,2875
08059012051,960
08035014114,2931
08059009831,3201
08005086900,1820
08001009409,566
08059012052,488
08019014700,647
08031002901,6215
08031000905,199
08059011720,1520
08001009606,573
08059980000,3169
08059010902,5625
08001008706,675
08031003402,1078
08031000401,526
08059012042,594
08005086200,691
08005004951,175
08035014115,551
08031002601,19861
08019014900,1980
08059010901,4233
08031004505,324
08001008544,425
08001009752,819
08059012058,385
08059011708,443
08031005104,4046
08005006815,6711
08031000502,529
08031005502,1772
08031008312,2511
08014031100,22143
08005006704,888
08031007089,219
08035014139,975
08035014130,449
08035014127,331
08059010702,461
08059012055,781
08005087300,1873
08001009308,1036
08031008390,271
08093000500,279
08059010100,17586
08039961206,359
08059012036,7126
08035014203,676
08031004801,744
08005005627,652
08059011728,344
08005005633,1642
08059011711,815
08005006604,851
08005005620,1315
08001009319,208
08001008507,329
08014030100,606
08001008705,913
08005005611,1253
08031012014,1699
08059012037,568
08005005623,1376
08005005553,1439
08005086300,1643
08001009307,652
08031004403,296
08031005200,2039
08005007104,2691
08005007101,785
08001008901,3752
08035014406,2157
08031004603,532
08035014123,3854
08005005629,1754
08031008387,67
08035014007,12598
08035013907,1850
08001008402,626
08059012030,633
08031001402,222
08014030500,766
08059012032,815
08059011803,618
08059009848,1277
08059012035,2136
08059011732,3587
08001008543,1203
08005006501,4893
08031006810,2389
08001060200,5833
08001008604,510
08001009316,539
08005007106,495
08059011726,1199
08035014116,11932
08035014137,739
08031003602,1539
08035014013,509
08035014134,568
08005006000,5605
08001009406,529
08001015000,14448
08001009323,3080
08031007006,269
08031004102,8537
08059012026,495
08031003203,1318
08059010403,3295
08001009321,646
08059010000,7986
08059009843,1889
08005005625,233
08005006400,2038
08035014202,544
08014031300,267
08059012045,244
08031002000,4452
08035013910,273
08059009806,3335
08059011710,179
08059012027,626
08031011903,277
08035014005,387
08005086400,256
08031000201,1985
08019014800,934
08014030200,2946
