zone_type,GEOID,zone_SF,existing_FAR,new_FAR,existing_building_SF,max_building_SF,existing_zone_hh,new_zone_hh,existing_zone_population,new_zone_population,increase_population_totract,new_total_tract_population,avg_hhsize_existing,nocar,population,housing_units,hh_income_low,hh_income_mid,hh_income_high,hh_total,oneperson_hh,twoperson_hh,geometry
R6,8059010205,56227.49561,2.3,3.5,129323.2399,196796.2346,129.3232399,196.7962346,308.1123011,468.8665452,160.7542441,2583.754244,2.382497542,84,2423,1017,104,222,647,973,217,388,"list(list(c(-105.1289, -105.126567, -105.119548, -105.110089, -105.10984, -105.109819, -105.10963, -105.115571, -105.128604, -105.128614, -105.1289, 39.842055, 39.842048, 39.842008, 39.841972, 39.831741, 39.831165, 39.823048, 39.827146, 39.836168, 39.836455, 39.842055)))"
R13,8059010205,298728.7969,2.3,3.5,687076.2328,1045550.789,687.0762328,1045.550789,1636.957436,2491.022185,854.0647491,3277.064749,2.382497542,84,2423,1017,104,222,647,973,217,388,"list(list(c(-105.1289, -105.126567, -105.119548, -105.110089, -105.10984, -105.109819, -105.10963, -105.115571, -105.128604, -105.128614, -105.1289, 39.842055, 39.842048, 39.842008, 39.841972, 39.831741, 39.831165, 39.823048, 39.827146, 39.836168, 39.836455, 39.842055)))"
R13,8059010206,124712.2749,2.3,3.5,286838.2323,436492.9622,286.8382323,436.4929622,664.0947252,1010.57893,346.4842045,4224.484204,2.315223881,21,3878,1675,126,550,956,1632,439,671,"list(list(c(-105.110089, -105.108166, -105.104379, -105.091324, -105.086631, -105.081821, -105.081545, -105.081447, -105.090919, -105.091091, -105.094105, -105.108782, -105.109819, -105.10984, -105.110089, 39.841972, 39.84192, 39.841907, 39.841764, 39.841785, 39.841799, 39.830443, 39.827244, 39.827208, 39.830484, 39.830822, 39.831076, 39.831165, 39.831741, 39.841972)))"
R24,8059010206,626244.1855,2.3,3.5,1440361.627,2191854.649,1440.361627,2191.854649,3334.759635,5074.634227,1739.874592,5617.874592,2.315223881,21,3878,1675,126,550,956,1632,439,671,"list(list(c(-105.110089, -105.108166, -105.104379, -105.091324, -105.086631, -105.081821, -105.081545, -105.081447, -105.090919, -105.091091, -105.094105, -105.108782, -105.109819, -105.10984, -105.110089, 39.841972, 39.84192, 39.841907, 39.841764, 39.841785, 39.841799, 39.830443, 39.827244, 39.827208, 39.830484, 39.830822, 39.831076, 39.831165, 39.831741, 39.841972)))"
R6,8059010208,251697.7515,2.3,3.5,578904.8284,880942.1301,578.9048284,880.9421301,1517.412337,2309.105729,791.693393,6534.693393,2.621177545,12,5743,2191,256,783,1132,2171,500,767,"list(list(c(-105.081821, -105.073354, -105.071064, -105.072144, -105.0721, -105.072074, -105.072045, -105.067376, -105.063954, -105.06224, -105.059997, -105.053262, -105.053271, -105.053281, -105.055636, -105.05657, -105.062676, -105.067316, -105.067307, -105.072993, -105.081486, -105.081442, -105.081447, -105.081545, -105.081821, 39.841799, 39.841825, 39.837184, 39.834952, 39.830898, 39.830504, 39.827309, 39.827335, 39.827344, 39.82727, 39.82671, 39.827273, 39.823666, 39.821859, 39.82185, 39.821863, 
39.82185, 39.821856, 39.820069, 39.820068, 39.82012, 39.825026, 39.827244, 39.830443, 39.841799)))"
R13,8059010208,229530.0493,2.3,3.5,527919.1134,803355.1726,527.9191134,803.3551726,1383.769725,2105.736539,721.9668133,6464.966813,2.621177545,12,5743,2191,256,783,1132,2171,500,767,"list(list(c(-105.081821, -105.073354, -105.071064, -105.072144, -105.0721, -105.072074, -105.072045, -105.067376, -105.063954, -105.06224, -105.059997, -105.053262, -105.053271, -105.053281, -105.055636, -105.05657, -105.062676, -105.067316, -105.067307, -105.072993, -105.081486, -105.081442, -105.081447, -105.081545, -105.081821, 39.841799, 39.841825, 39.837184, 39.834952, 39.830898, 39.830504, 39.827309, 39.827335, 39.827344, 39.82727, 39.82671, 39.827273, 39.823666, 39.821859, 39.82185, 39.821863, 
39.82185, 39.821856, 39.820069, 39.820068, 39.82012, 39.825026, 39.827244, 39.830443, 39.841799)))"
R24,8059010208,893347.8208,2.3,3.5,2054699.988,3126717.373,2054.699988,3126.717373,5385.733469,8195.681366,2809.947897,8552.947897,2.621177545,12,5743,2191,256,783,1132,2171,500,767,"list(list(c(-105.081821, -105.073354, -105.071064, -105.072144, -105.0721, -105.072074, -105.072045, -105.067376, -105.063954, -105.06224, -105.059997, -105.053262, -105.053271, -105.053281, -105.055636, -105.05657, -105.062676, -105.067316, -105.067307, -105.072993, -105.081486, -105.081442, -105.081447, -105.081545, -105.081821, 39.841799, 39.841825, 39.837184, 39.834952, 39.830898, 39.830504, 39.827309, 39.827335, 39.827344, 39.82727, 39.82671, 39.827273, 39.823666, 39.821859, 39.82185, 39.821863, 
39.82185, 39.821856, 39.820069, 39.820068, 39.82012, 39.825026, 39.827244, 39.830443, 39.841799)))"
R24,8059010209,919374.6333,2.3,3.5,2114561.657,3217811.217,2114.561657,3217.811217,5166.01304,7861.324191,2695.311151,9389.311151,2.443065693,69,6694,2740,251,1261,1117,2629,724,1050,"list(list(c(-105.073354, -105.069664, -105.066446, -105.063491, -105.062703, -105.062549, -105.060663, -105.053236, -105.053259, -105.053266, -105.053262, -105.059997, -105.06224, -105.063954, -105.067376, -105.072045, -105.072074, -105.0721, -105.072144, -105.071064, -105.073354, 39.841825, 39.841235, 39.84115, 39.841162, 39.841235, 39.841249, 39.841686, 39.841807, 39.839969, 39.834527, 39.827273, 39.82671, 39.82727, 39.827344, 39.827335, 39.827309, 39.830504, 39.830898, 39.834952, 39.837184, 39.841825
)))"
R13,8059010210,"702,268.50",2.3,3.5,1615217.55,2457939.75,1615.21755,2457.93975,3927.574149,5976.74327,2049.169121,5711.169121,2.431606906,80,3662,1506,81,544,830,1455,333,579,"list(list(c(-105.109819, -105.108782, -105.094105, -105.091091, -105.090919, -105.090867, -105.090848, -105.090823, -105.095403, -105.099085, -105.10034, -105.100863, -105.102882, -105.104366, -105.10963, -105.109819, 39.831165, 39.831076, 39.830822, 39.830484, 39.827208, 39.820443, 39.812922, 39.809781, 39.810992, 39.812082, 39.812886, 39.813365, 39.817037, 39.819307, 39.823048, 39.831165)))"
R24,8059010210,157113.2031,2.3,3.5,361360.3672,549896.2109,361.3603672,549.8962109,878.6863643,1337.131424,458.4450596,4120.44506,2.431606906,80,3662,1506,81,544,830,1455,333,579,"list(list(c(-105.109819, -105.108782, -105.094105, -105.091091, -105.090919, -105.090867, -105.090848, -105.090823, -105.095403, -105.099085, -105.10034, -105.100863, -105.102882, -105.104366, -105.10963, -105.109819, 39.831165, 39.831076, 39.830822, 39.830484, 39.827208, 39.820443, 39.812922, 39.809781, 39.810992, 39.812082, 39.812886, 39.813365, 39.817037, 39.819307, 39.823048, 39.831165)))"
R6,8059010211,241194.8311,2.3,3.5,554748.1114,844181.9087,554.7481114,844.1819087,1326.254648,2018.213595,691.9589469,4148.958947,2.390733057,122,3457,1446,267,463,666,1396,412,547,"list(list(c(-105.090919, -105.081447, -105.081442, -105.081486, -105.081432, -105.080518, -105.079049, -105.077958, -105.081424, -105.090823, -105.090848, -105.090867, -105.090919, 39.827208, 39.827244, 39.825026, 39.82012, 39.814659, 39.81286, 39.809242, 39.806544, 39.807434, 39.809781, 39.812922, 39.820443, 39.827208)))"
R13,8059010211,40686.74512,2.3,3.5,93579.51377,142403.6079,93.57951377,142.4036079,223.723637,340.4490128,116.7253758,3573.725376,2.390733057,122,3457,1446,267,463,666,1396,412,547,"list(list(c(-105.090919, -105.081447, -105.081442, -105.081486, -105.081432, -105.080518, -105.079049, -105.077958, -105.081424, -105.090823, -105.090848, -105.090867, -105.090919, 39.827208, 39.827244, 39.825026, 39.82012, 39.814659, 39.81286, 39.809242, 39.806544, 39.807434, 39.809781, 39.812922, 39.820443, 39.827208)))"
R24,8059010211,"1,416,235.00",2.3,3.5,3257340.5,4956822.5,3257.3405,4956.8225,7787.43161,11850.43941,4063.007797,7520.007797,2.390733057,122,3457,1446,267,463,666,1396,412,547,"list(list(c(-105.090919, -105.081447, -105.081442, -105.081486, -105.081432, -105.080518, -105.079049, -105.077958, -105.081424, -105.090823, -105.090848, -105.090867, -105.090919, 39.827208, 39.827244, 39.825026, 39.82012, 39.814659, 39.81286, 39.809242, 39.806544, 39.807434, 39.809781, 39.812922, 39.820443, 39.827208)))"
R6,8059010212,1085717.097,2.3,3.5,2497149.323,3800009.84,2497.149323,3800.00984,5701.065067,8675.533797,2974.468731,7104.468731,2.283029298,55,4130,1809,221,695,728,1644,508,540,"list(list(c(-105.081486, -105.072993, -105.067307, -105.067309, -105.067289, -105.067285, -105.067303, -105.072895, -105.076587, -105.076589, -105.076641, -105.076681, -105.07672, -105.077958, -105.079049, -105.080518, -105.081432, -105.081486, 39.82012, 39.820068, 39.820069, 39.812816, 39.809222, 39.805577, 39.800337, 39.800128, 39.799662, 39.801989, 39.80299, 39.803247, 39.803376, 39.806544, 39.809242, 39.81286, 39.814659, 39.82012)))"
