GEOID,nocar,population,housing_units,hh_income_low,hh_income_mid,hh_income_high,hh_total,oneperson_hh,twoperson_hh,geometry
08005081000,178,5741,2481,509,1288,512,2309,958,570,"list(list(c(-104.826874, -104.826562, -104.82485, -104.819379, -104.817549, -104.810386, -104.809784, -104.8098, -104.809778, -104.809881, -104.809967, -104.810002, -104.809989, -104.813105, -104.816632, -104.819356, -104.826689, -104.826947, -104.826874, 39.717301, 39.71968, 39.725624, 39.725619, 39.725618, 39.725611, 39.722535, 39.718363, 39.714804, 39.714082, 39.713555, 39.711584, 39.708627, 39.708678, 39.710722, 39.711138, 39.71116, 39.71116, 39.717301)))"
08005082300,47,4157,1443,153,715,512,1380,406,282,"list(list(c(-104.809904, -104.809894, -104.80301, -104.79998, -104.791015, -104.790994, -104.797771, -104.800532, -104.800808, -104.801012, -104.801063, -104.802676, -104.802858, -104.807665, -104.809923, -104.809904, 39.682056, 39.685695, 39.685706, 39.685712, 39.685728, 39.682099, 39.682123, 39.681418, 39.682144, 39.682332, 39.682141, 39.67596, 39.673935, 39.674731, 39.674809, 39.682056)))"
08005082200,134,6383,2214,374,1066,724,2164,582,583,"list(list(c(-104.809886, -104.809869, -104.805828, -104.800031, -104.791077, -104.791052, -104.791037, -104.791015, -104.79998, -104.80301, -104.809894, -104.809886, 39.689331, 39.696602, 39.696605, 39.696608, 39.696612, 39.692193, 39.689712, 39.685728, 39.685712, 39.685706, 39.685695, 39.689331)))"
08005080600,38,3449,1890,172,1226,349,1747,866,500,"list(list(c(-104.847254, -104.847241, -104.841243, -104.836287, -104.828858, -104.828919, -104.834977, -104.836256, -104.837822, -104.839279, -104.847267, -104.847254, 39.678403, 39.682063, 39.682077, 39.682092, 39.682122, 39.674873, 39.674964, 39.674983, 39.674999, 39.674969, 39.674797, 39.678403)))"
08005082100,171,7211,2485,276,984,1023,2283,514,679,"list(list(c(-104.809989, -104.807656, -104.805659, -104.803748, -104.800947, -104.795677, -104.790969, -104.790954, -104.791077, -104.800031, -104.805828, -104.809869, -104.809924, -104.809989, 39.708627, 39.708614, 39.708227, 39.707773, 39.707147, 39.706734, 39.706477, 39.700289, 39.696612, 39.696608, 39.696605, 39.696602, 39.700991, 39.708627)))"
08005081800,138,5708,1659,200,981,445,1626,318,394,"list(list(c(-104.82546, -104.82032, -104.819416, -104.810127, -104.810022, -104.810007, -104.809987, -104.810386, -104.817549, -104.819379, -104.82485, -104.825503, -104.82546, 39.74029, 39.740297, 39.740266, 39.740141, 39.740141, 39.733271, 39.728498, 39.725611, 39.725618, 39.725619, 39.725624, 39.736261, 39.74029)))"
08005082900,9,4893,1760,109,651,899,1659,312,555,"list(list(c(-104.772352, -104.772351, -104.771073, -104.769973, -104.769974, -104.767733, -104.753726, -104.753646, -104.762977, -104.762977, -104.764935, -104.772362, -104.772352, 39.693053, 39.696567, 39.696562, 39.696558, 39.696676, 39.696551, 39.696495, 39.681997, 39.682027, 39.682145, 39.682031, 39.682047, 39.693053)))"
08005081300,77,3056,1088,30,585,450,1065,175,382,"list(list(c(-104.819284, -104.819282, -104.819273, -104.819253, -104.809869, -104.809886, -104.809894, -104.811502, -104.815407, -104.81929, -104.819284, 39.684599, 39.685601, 39.689353, 39.696594, 39.696602, 39.689331, 39.685695, 39.685606, 39.682135, 39.68209, 39.684599)))"
08005083100,47,6928,2677,206,1018,1340,2564,598,960,"list(list(c(-104.772469, -104.772456, -104.772445, -104.772362, -104.764935, -104.762977, -104.762977, -104.753646, -104.753301, -104.753128, -104.75301, -104.75415, -104.759096, -104.772442, -104.772473, -104.772469, 39.670618, 39.67723, 39.680743, 39.682047, 39.682031, 39.682145, 39.682027, 39.681997, 39.681259, 39.674769, 39.667909, 39.667893, 39.667827, 39.667703, 39.669017, 39.670618)))"
08005081600,192,5159,1869,86,888,833,1807,584,529,"list(list(c(-104.832903, -104.828177, -104.809938, -104.809946, -104.806267, -104.802237, -104.802391, -104.799422, -104.799023, -104.799616, -104.799506, -104.80995, -104.814622, -104.816758, -104.819977, -104.827929, -104.831795, -104.832903, 39.6542, 39.65719, 39.668884, 39.665845, 39.667434, 39.66756, 39.665421, 39.661398, 39.65966, 39.655005, 39.653144, 39.65315, 39.653151, 39.653143, 39.653136, 39.653125, 39.653079, 39.6542)))"
