GEOID,new_basic,new_retail,new_service,new_oneperson_hh,new_twoperson_hh,new_total_tract_population,new_total_housing_units,new_hh_income_low,new_hh_income_mid,new_hh_income_high,new_nocar,geometry
08031003603,43.92875354,52.02089235,1254.281516,725.52,1088.28,4080.75,1813.79,241.27,555.29,1017.23,60.11,"list(list(c(-104.959758, -104.959763, -104.959752, -104.956104, -104.951183, -104.949914, -104.946262, -104.942711, -104.940495, -104.940508, -104.940508, -104.94058, -104.954945, -104.959766, -104.959758, 39.754466, 39.758228, 39.761991, 39.761984, 39.761962, 39.761953, 39.761934, 39.761716, 39.76196, 39.758294, 39.754664, 39.751036, 39.75115, 39.750716, 39.754466)))"
08031001301,45.22478798,230.2352843,630.0635235,612.64,1207.66,5405.39,1820.3,340.73,859.04,620.53,197.34,"list(list(c(-105.025099, -105.025082, -105.025078, -105.025092, -105.0157, -105.011009, -105.010983, -105.011033, -105.012139, -105.012621, -105.012707, -105.01569, -105.025059, -105.02508, -105.025084, -105.025099, 39.704912, 39.707512, 39.707654, 39.711174, 39.71119, 39.711189, 39.703972, 39.701372, 39.699143, 39.698316, 39.696747, 39.696762, 39.696746, 39.700411, 39.703947, 39.704912)))"
08031005503,45.74583881,4.255426866,315.9654448,637.83,1354.78,5345.88,1992.6,332.83,544.84,1114.94,185.11,"list(list(c(-105.053294, -105.053342, -105.053273, -105.04917, -105.045304, -105.044909, -105.034707, -105.034739, -105.034752, -105.030057, -105.029563, -105.02536, -105.025369, -105.027608, -105.029127, -105.034821, -105.034822, -105.036802, -105.038005, -105.041839, -105.042314, -105.044048, -105.044339, -105.0457, -105.053411, -105.053294, 39.634902, 39.63877, 39.639768, 39.638674, 39.638638, 39.638595, 39.638593, 39.635089, 39.63359, 39.633492, 39.632355, 39.631445, 39.628598, 39.62824, 39.627838, 
39.628098, 39.627809, 39.628129, 39.626836, 39.627887, 39.628194, 39.628016, 39.631587, 39.631587, 39.631586, 39.634902)))"
08031003702,46.30304365,245.1337605,615.5581097,2739.62,1227.46,6801.1,3967.08,879.16,1793.08,1294.84,685.01,"list(list(c(-104.959784, -104.959781, -104.95811, -104.954165, -104.95006, -104.94947, -104.949491, -104.949493, -104.954051, -104.954053, -104.959795, -104.959784, 39.73681, 39.739988, 39.740196, 39.740182, 39.740163, 39.74016, 39.736778, 39.732103, 39.732099, 39.733682, 39.733453, 39.73681)))"
08005080000,46.60432968,779.2243923,292.6751904,1020.56,1475.57,7147.24,2496.13,357.15,1584.5,554.48,31.69,"list(list(c(-104.865971, -104.860759, -104.854641, -104.850775, -104.847237, -104.847233, -104.847193, -104.850169, -104.85514, -104.865967, -104.865967, -104.865971, 39.711053, 39.711088, 39.71113, 39.711155, 39.711178, 39.710479, 39.703331, 39.703117, 39.703841, 39.703807, 39.704318, 39.711053)))"
08005083300,47.30304982,881.3305072,953.529899,1745.5,2730.86,11093.81,4476.36,392.17,1400.96,2683.24,52.28,"list(list(c(-104.791036, -104.785176, -104.779871, -104.778672, -104.777344, -104.775643, -104.775219, -104.772473, -104.772442, -104.772399, -104.772456, -104.777441, -104.779093, -104.777342, -104.777427, -104.780606, -104.782184, -104.78975, -104.791109, -104.791036, 39.667559, 39.667523, 39.667447, 39.667954, 39.668791, 39.669546, 39.669151, 39.669017, 39.667703, 39.665583, 39.653109, 39.653132, 39.653119, 39.657138, 39.657979, 39.657816, 39.658152, 39.660262, 39.660307, 39.667559)))"
08001009501,47.60623377,115.6151391,837.6430179,748.46,592.45,3665.68,1340.91,321.91,603.01,415.99,133.75,"list(list(c(-105.024782, -105.017192, -105.015501, -105.015502, -105.006034, -105.006097, -105.014221, -105.01554, -105.024799, -105.024782, 39.836195, 39.834027, 39.833622, 39.833554, 39.830837, 39.827292, 39.827292, 39.827288, 39.827272, 39.836195)))"
08005084100,50.20893576,8.098215445,254.283965,780.95,1820.2,7487.61,2601.15,322.46,1020.29,1258.41,56.69,"list(list(c(-104.791248, -104.791217, -104.784386, -104.779093, -104.777441, -104.772456, -104.772512, -104.774319, -104.777159, -104.779283, -104.779791, -104.782934, -104.787784, -104.788143, -104.791325, -104.791248, 39.649809, 39.653127, 39.653109, 39.653119, 39.653132, 39.653109, 39.647056, 39.646541, 39.643358, 39.64284, 39.642778, 39.642831, 39.645793, 39.645868, 39.64597, 39.649809)))"
08005080600,50.28863149,79.40310235,1135.464364,3171.36,1831.04,9128.71,5002.4,492.51,3510.55,999.33,100.58,"list(list(c(-104.847254, -104.847241, -104.841243, -104.836287, -104.828858, -104.828919, -104.834977, -104.836256, -104.837822, -104.839279, -104.847267, -104.847254, 39.678403, 39.682063, 39.682077, 39.682092, 39.682122, 39.674873, 39.674964, 39.674983, 39.674999, 39.674969, 39.674797, 39.678403)))"
08005084500,51.40330995,0,492.8670307,1308.81,2428.51,9053.03,3737.32,254.96,1829.93,1652.43,139.09,"list(list(c(-104.791109, -104.78975, -104.782184, -104.780606, -104.777427, -104.777342, -104.779093, -104.784386, -104.791217, -104.791109, 39.660307, 39.660262, 39.658152, 39.657816, 39.657979, 39.657138, 39.653119, 39.653109, 39.653127, 39.660307)))"
08005083100,51.5490459,84.10633805,268.5976602,2787.72,4475.27,18796.41,7262.99,583.53,2883.67,3795.79,127.52,"list(list(c(-104.772469, -104.772456, -104.772445, -104.772362, -104.764935, -104.762977, -104.762977, -104.753646, -104.753301, -104.753128, -104.75301, -104.75415, -104.759096, -104.772442, -104.772473, -104.772469, 39.670618, 39.67723, 39.680743, 39.682047, 39.682031, 39.682145, 39.682027, 39.681997, 39.681259, 39.674769, 39.667909, 39.667893, 39.667827, 39.667703, 39.669017, 39.670618)))"
08005007702,51.97044534,116.0673279,220.0082186,1265.86,1521.49,7274.13,2787.35,252.89,1361.13,1173.33,88.35,"list(list(c(-104.847263, -104.84724, -104.847233, -104.844086, -104.843452, -104.843168, -104.835238, -104.828261, -104.82485, -104.826562, -104.826874, -104.826947, -104.847237, -104.847254, -104.847263, 39.718431, 39.721568, 39.722544, 39.723253, 39.723963, 39.725675, 39.72565, 39.725627, 39.725624, 39.71968, 39.717301, 39.71116, 39.711178, 39.715806, 39.718431)))"
08031008306,55.10100167,0,205.2782415,976.62,1169.08,7766,2145.7,320.57,1124.79,700.34,271.18,"list(list(c(-104.847087, -104.84378, -104.84019, -104.83632, -104.835584, -104.834468, -104.828184, -104.831204, -104.832413, -104.838472, -104.839796, -104.841626, -104.842927, -104.84701, -104.847049, -104.847087, 39.789276, 39.789291, 39.78932, 39.790963, 39.791055, 39.791131, 39.788695, 39.784332, 39.782677, 39.780511, 39.77932, 39.780529, 39.781296, 39.782386, 39.786407, 39.789276)))"
