GEOID,nocar,population,housing_units,hh_income_low,hh_income_mid,hh_income_high,hh_total,oneperson_hh,twoperson_hh,UPA,geometry
08031000702,576,4799,2456,648,829,593,2070,825,664,3,"list(list(c(-105.039324, -105.039308, -105.035765, -105.035771, -105.034933, -105.031511, -105.025213, -105.025219, -105.025075, -105.025236, -105.026007, -105.032161, -105.03461, -105.036848, -105.0393, -105.039311, -105.039326, -105.039324, 39.741526, 39.743953, 39.74395, 39.746378, 39.746385, 39.746374, 39.746363, 39.74273, 39.738011, 39.736565, 39.736187, 39.734973, 39.735952, 39.734314, 39.734344, 39.73847, 39.740342, 39.741526)))"
08031000202,205,4006,1822,423,605,745,1773,628,578,3,"list(list(c(-105.025248, -105.025135, -105.020008, -105.015833, -105.006425, -105.002581, -104.998334, -104.998194, -105.004178, -105.006433, -105.01118, -105.014685, -105.015854, -105.017421, -105.025275, -105.025248, 39.780263, 39.784226, 39.783606, 39.78357, 39.783141, 39.783501, 39.782399, 39.776547, 39.776556, 39.776537, 39.776554, 39.776563, 39.776564, 39.776573, 39.776643, 39.780263)))"
08031000502,572,6006,3017,918,467,1440,2825,1024,1122,3,"list(list(c(-105.039319, -105.039303, -105.034613, -105.02993, -105.025233, -105.025222, -105.025268, -105.025213, -105.031511, -105.034933, -105.035771, -105.036956, -105.039306, -105.039319, 39.754863, 39.758499, 39.758518, 39.758485, 39.758476, 39.754837, 39.749998, 39.746363, 39.746374, 39.746385, 39.746378, 39.747578, 39.747576, 39.754863)))"
08031003703,194,3266,1856,210,746,703,1659,721,574,3,"list(list(c(-104.949491, -104.94947, -104.940593, -104.940593, -104.940615, -104.940602, -104.949493, -104.949491, 39.736778, 39.74016, 39.740128, 39.736683, 39.734689, 39.732076, 39.732103, 39.736778)))"
08031004306,93,5325,2436,225,649,1435,2309,809,792,3,"list(list(c(-104.922799, -104.912794, -104.903407, -104.903494, -104.903534, -104.903705, -104.903454, -104.903494, -104.906471, -104.910094, -104.912782, -104.917647, -104.922286, -104.922263, -104.922262, -104.92278, -104.922799, 39.725631, 39.725638, 39.725641, 39.725253, 39.722384, 39.717058, 39.713323, 39.711281, 39.711394, 39.711382, 39.711382, 39.711385, 39.711339, 39.717838, 39.717896, 39.721933, 39.725631)))"
08031003201,284,5853,3655,375,1500,1572,3447,1707,1448,3,"list(list(c(-104.973008, -104.972991, -104.969688, -104.964766, -104.964773, -104.965006, -104.964491, -104.964619, -104.965881, -104.969461, -104.972935, -104.972979, -104.972978, -104.972999, -104.973008, 39.736875, 39.740038, 39.740025, 39.739999, 39.73682, 39.735404, 39.733456, 39.730484, 39.729093, 39.729085, 39.729078, 39.732049, 39.733708, 39.735157, 39.736875)))"
08031004603,138,6117,2148,357,1073,692,2122,549,614,3,"list(list(c(-105.038653, -105.038578, -105.038316, -105.038276, -105.029789, -105.025038, -105.025058, -105.025073, -105.025062, -105.025108, -105.029869, -105.037767, -105.038686, -105.038653, 39.672317, 39.677799, 39.679188, 39.682213, 39.682239, 39.68227, 39.678636, 39.673339, 39.671786, 39.667715, 39.667705, 39.667698, 39.667701, 39.672317)))"
08031015700,366,6011,2340,703,868,734,2305,819,690,3,"list(list(c(-105.044092, -105.041881, -105.041751, -105.038686, -105.037767, -105.029869, -105.025108, -105.025111, -105.025124, -105.025269, -105.032038, -105.032089, -105.032157, -105.032162, -105.034017, -105.036103, -105.037907, -105.041369, -105.041823, -105.043388, -105.04397, -105.044092, 39.662517, 39.666407, 39.667718, 39.667701, 39.667698, 39.667705, 39.667715, 39.666943, 39.665038, 39.656817, 39.657087, 39.655905, 39.653775, 39.653276, 39.653465, 39.654262, 39.654568, 39.654273, 39.656417, 
39.659239, 39.660138, 39.662517)))"
08031005503,174,5025,1873,303,496,1015,1814,395,839,3,"list(list(c(-105.053294, -105.053342, -105.053273, -105.04917, -105.045304, -105.044909, -105.034707, -105.034739, -105.034752, -105.030057, -105.029563, -105.02536, -105.025369, -105.027608, -105.029127, -105.034821, -105.034822, -105.036802, -105.038005, -105.041839, -105.042314, -105.044048, -105.044339, -105.0457, -105.053411, -105.053294, 39.634902, 39.63877, 39.639768, 39.638674, 39.638638, 39.638595, 39.638593, 39.635089, 39.63359, 39.633492, 39.632355, 39.631445, 39.628598, 39.62824, 39.627838, 
39.628098, 39.627809, 39.628129, 39.626836, 39.627887, 39.628194, 39.628016, 39.631587, 39.631587, 39.631586, 39.634902)))"
08031006901,339,5827,2990,577,1278,874,2729,1266,861,3,"list(list(c(-104.933676, -104.931616, -104.922266, -104.912811, -104.906253, -104.905631, -104.903579, -104.90352, -104.903522, -104.903509, -104.904757, -104.906177, -104.912874, -104.916378, -104.917544, -104.917559, -104.921047, -104.922253, -104.924759, -104.925746, -104.925725, -104.930242, -104.926429, -104.92266, -104.925662, -104.926275, -104.926368, -104.926795, -104.927832, -104.93076, -104.933977, -104.933676, 39.678452, 39.678462, 39.67847, 39.678461, 39.678442, 39.678314, 39.676675, 
39.674456, 39.671225, 39.667624, 39.667634, 39.667642, 39.667631, 39.667585, 39.66758, 39.672983, 39.674836, 39.675616, 39.676153, 39.676641, 39.675281, 39.674832, 39.669394, 39.667578, 39.667486, 39.667471, 39.667591, 39.668581, 39.670574, 39.674779, 39.678445, 39.678452)))"
